Name,X,Y,Z
BRO_502,487912.474,5147664.655,5
BRO_213,488572.474,5147994.655,5
BRO_238,488947.474,5148684.655,5
BRO_219,488572.474,5147979.655,5
BRO_203,488512.474,5148009.655,5
BRO_222,488557.474,5147964.655,5
BRO_558,488842.474,5148369.655,5
BRO_65,489176.946,5148619.268,5
BRO_554,488827.474,5148384.655,5
BRO_218,488557.474,5147979.655,5
BRO_555,488842.474,5148384.655,5
BRO_531,488857.474,5148459.655,5
DAM_5,489757.661,5148211.895,5
BRO_254,488947.474,5148609.655,5
BRO_239,488962.474,5148684.655,5
BRO_241,488977.474,5148669.655,5
BRO_249,488962.474,5148639.655,5
BRO_257,488947.474,5148594.655,5
BRO_244,488962.474,5148654.655,5
BRO_240,488962.474,5148669.655,5
BRO_251,488947.474,5148624.655,5
BRO_245,488977.474,5148654.655,5
BRO_242,488992.474,5148669.655,5
BRO_32,489005.895,5148616.784,5
BRO_250,488977.474,5148639.655,5
BRO_246,488992.474,5148654.655,5
CN-MW23-6,485692,5146984,4.77
NT-TW4,488870,5148617,4.71
NT-MW7-7,487928,5147733,4.62
NT-MW21-10,487397,5147464,4.37
NT-MW30-7,487303,5147438,4.29
NT-MW-24-9,487608,5147760,4.28
BH-DAM1-01,488915,5148641,4.26
BH-DAM2-01,488673,5148382,4.25
NT-MW28-10,488872,5148599,4.16
BRO_525,488242.474,5148084.655,4
BRO_568,488167.474,5148114.655,4
BRO_521,488182.474,5148084.655,4
BRO_563,488137.474,5148129.655,4
BRO_566,488137.474,5148114.655,4
BRO_569,488137.474,5148099.655,4
BRO_571,488167.474,5148099.655,4
BRO_567,488152.474,5148114.655,4
BRO_523,488212.474,5148084.655,4
BRO_520,488227.474,5148099.655,4
BRO_565,488167.474,5148129.655,4
BRO_583,488002.474,5148234.655,4
BRO_564,488152.474,5148129.655,4
BRO_561,488152.474,5148144.655,4
BRO_570,488152.474,5148099.655,4
BRO_576,488182.474,5148174.655,4
BRO_110,487927.474,5148249.655,4
BRO_522,488197.474,5148084.655,4
BRO_524,488227.474,5148084.655,4
BRO_574,488167.474,5148189.655,4
BRO_8,487892.355,5148189.622,4
BRO_575,488182.474,5148189.655,4
BRO_10,487892.666,5148199.556,4
BRO_9,487892.355,5148195.21,4
BRO_11,487922.778,5148250.157,4
BRO_133,488602.474,5148489.655,4
BRO_129,488617.474,5148504.655,4
BRO_562,488167.474,5148144.655,4
BRO_96,488737.474,5148654.655,4
BRO_124,488617.474,5148519.655,4
BRO_43,488738.142,5148664.436,4
BRO_518,487957.474,5147679.655,4
BRO_42,488731.934,5148658.383,4
BRO_113,488632.474,5148549.655,4
BRO_41,488732.399,5148654.347,4
BRO_28,488727.432,5148898.351,4
BRO_123,488602.474,5148519.655,4
BRO_53,488661.93,5148380.075,4
BRO_118,488617.474,5148534.655,4
BRO_119,488632.474,5148534.655,4
BRO_280,488872.474,5148834.655,4
BRO_511,488017.474,5147739.655,4
BRO_519,487972.474,5147679.655,4
BRO_109,488647.474,5148024.655,4
BRO_510,488032.474,5147754.655,4
BRO_132,488662.474,5148504.655,4
BRO_98,488722.474,5148879.655,4
BRO_287,488887.474,5148819.655,4
BRO_515,488002.474,5147709.655,4
BRO_174,488572.474,5148069.655,4
BRO_131,488647.474,5148504.655,4
BRO_182,488557.474,5148054.655,4
BRO_506,487942.474,5147649.655,4
BRO_513,488017.474,5147724.655,4
BRO_215,488602.474,5147994.655,4
BRO_225,488602.474,5147964.655,4
BRO_221,488602.474,5147979.655,4
BRO_125,488632.474,5148519.655,4
BRO_343,488422.474,5148279.655,4
BRO_126,488647.474,5148519.655,4
BRO_190,488542.474,5148039.655,4
BRO_130,488632.474,5148504.655,4
BRO_503,487927.474,5147664.655,4
BRO_352,488452.474,5148264.655,4
BRO_34,489276.907,5148590.397,4
BRO_227,488587.474,5147949.655,4
BRO_68,489233.445,5148645.034,4
BRO_505,487927.474,5147649.655,4
BRO_361,488467.474,5148249.655,4
BRO_220,488587.474,5147979.655,4
BRO_224,488587.474,5147964.655,4
BRO_167,488587.474,5148084.655,4
BRO_226,488572.474,5147949.655,4
BRO_223,488572.474,5147964.655,4
BRO_504,487912.474,5147649.655,4
BRO_197,488527.474,5148024.655,4
BRO_202,488497.474,5148009.655,4
DAM_9,489156.841,5148586.433,4
BRO_550,488827.474,5148399.655,4
BRO_549,488872.474,5148414.655,4
BRO_536,488857.474,5148444.655,4
BRO_543,488872.474,5148429.655,4
BRO_31,488968.021,5148583.878,4
BRO_252,488962.474,5148624.655,4
BRO_255,488962.474,5148609.655,4
BRO_258,488977.474,5148594.655,4
BRO_253,488977.474,5148624.655,4
BRO_256,488992.474,5148609.655,4
NS14-01 BC,487389,5147480,3.91
BH-DAM3-02,488260,5148145,3.84
BH-DAM8-02,487654,5147230,3.82
NT-MW7-4,487927,5147736,3.59
NT-MW43,487999,5148167,3.54
DH-DAM1-03,488676,5148498,3.35
NS14-02 BC,487365,5147596,3.33
NT-BH03,488897,5148661,3.29
NT-MW12-10,488913,5148640,3.21
BRO_235,488062.474,5148264.655,3
BRO_584,488017.474,5148234.655,3
BRO_164,488647.474,5148384.655,3
BRO_581,488002.474,5148249.655,3
BRO_134,488617.474,5148489.655,3
BRO_165,488662.474,5148384.655,3
BRO_140,488617.474,5148459.655,3
BRO_137,488662.474,5148489.655,3
BRO_136,488647.474,5148489.655,3
BRO_138,488617.474,5148474.655,3
BRO_173,488557.474,5148069.655,3
BRO_338,488347.474,5148279.655,3
BRO_139,488632.474,5148474.655,3
BRO_135,488632.474,5148489.655,3
BRO_351,488437.474,5148264.655,3
BRO_181,488542.474,5148054.655,3
BRO_36,489286.53,5148584.809,3
BRO_189,488527.474,5148039.655,3
BRO_371,488482.474,5148234.655,3
BRO_382,488497.474,5148219.655,3
BRO_166,488572.474,5148084.655,3
BRO_360,488452.474,5148249.655,3
BRO_35,489283.115,5148579.532,3
BRO_342,488407.474,5148279.655,3
BRO_196,488512.474,5148024.655,3
BRO_67,489242.138,5148654.968,3
BRO_377,488422.474,5148219.655,3
BRO_399,488422.474,5148189.655,3
BRO_400,488437.474,5148189.655,3
BRO_389,488437.474,5148204.655,3
BRO_546,488827.474,5148414.655,3
BRO_376,488407.474,5148219.655,3
BRO_552,488857.474,5148399.655,3
BRO_551,488842.474,5148399.655,3
DAM_8,489340.208,5148473.291,3
BRO_542,488857.474,5148429.655,3
BRO_388,488422.474,5148204.655,3
BH-DAM3-03,488172,5148161,2.98
CN-MW28-6,485308,5146882,2.98
NT-MW6-2,487864,5147491,2.7
NN-MW8-24,489383,5149248,2.64
NN-MW8-36,489383,5149246,2.64
NT-MW2-3,487488,5147162,2.44
NT-MW2-47,487483,5147163,2.37
NT-MW29-10,488661,5148391,2.25
NT-MW2-17,487484,5147160,2.18
NT-MW25-10,487766,5147894,2.05
BRO_582,488017.474,5148249.655,2
BRO_24,488632.438,5148419.811,2
BRO_163,488647.474,5148399.655,2
BRO_54,488644.856,5148420.122,2
BRO_162,488647.474,5148414.655,2
BRO_29,488758.165,5148950.194,2
BRO_23,488657.429,5148419.501,2
BRO_340,488377.474,5148279.655,2
BRO_350,488422.474,5148264.655,2
BRO_345,488347.474,5148264.655,2
BRO_188,488512.474,5148039.655,2
BRO_341,488392.474,5148279.655,2
BRO_359,488437.474,5148249.655,2
BRO_339,488362.474,5148279.655,2
BRO_172,488542.474,5148069.655,2
BRO_358,488422.474,5148249.655,2
BRO_180,488527.474,5148054.655,2
BRO_367,488422.474,5148234.655,2
BRO_370,488467.474,5148234.655,2
BRO_413,488452.474,5148174.655,2
BRO_195,488497.474,5148024.655,2
BRO_387,488407.474,5148204.655,2
BRO_368,488437.474,5148234.655,2
BRO_194,488482.474,5148024.655,2
BRO_381,488482.474,5148219.655,2
BRO_401,488452.474,5148189.655,2
BRO_398,488407.474,5148189.655,2
BRO_375,488392.474,5148219.655,2
BRO_369,488452.474,5148234.655,2
BRO_379,488452.474,5148219.655,2
BRO_390,488452.474,5148204.655,2
BRO_366,488407.474,5148234.655,2
BRO_412,488437.474,5148174.655,2
BRO_411,488422.474,5148174.655,2
BRO_378,488437.474,5148219.655,2
BRO_535,488842.474,5148444.655,2
BRO_541,488842.474,5148429.655,2
BRO_547,488842.474,5148414.655,2
BRO_548,488857.474,5148414.655,2
BH-DAM8-01,487612,5147145,1.78
NN-MW8-2,489388,5149245,1.77
NT-MW6-26,487862,5147489,1.67
NT-TW2,487357,5147574,1.64
BH-DAM2-02,488566,5148201,1.61
NT-MW14-6,489167,5148716,1.47
NT-MW10-3,488385,5148387,1.4
NT-MW10-45,488389,5148388,1.38
BH-DAM1-02,488834,5148596,1.3
NT-MW10-11,488387,5148387,1.28
NT-MW12-46,488917,5148643,1.11
NT-TW5,488675,5148390,1.1
BRO_1,487771.905,5148356.327,1
BRO_2,487773.147,5148369.055,1
BRO_3,487773.147,5148378.989,1
BRO_234,488062.474,5148279.655,1
BRO_233,488047.474,5148279.655,1
BRO_30,488761.27,5148965.095,1
BRO_44,488759.097,5148957.8,1
BRO_328,488887.474,5148864.655,1
BRO_393,488497.474,5148204.655,1
BRO_405,488512.474,5148189.655,1
BRO_347,488377.474,5148264.655,1
BRO_179,488512.474,5148054.655,1
BRO_404,488497.474,5148189.655,1
BRO_348,488392.474,5148264.655,1
BRO_346,488362.474,5148264.655,1
BRO_355,488377.474,5148249.655,1
BRO_178,488497.474,5148054.655,1
BRO_438,488452.474,5148144.655,1
BRO_403,488482.474,5148189.655,1
BRO_414,488467.474,5148174.655,1
BRO_357,488407.474,5148249.655,1
BRO_171,488527.474,5148069.655,1
BRO_349,488407.474,5148264.655,1
BRO_353,488347.474,5148249.655,1
BRO_415,488482.474,5148174.655,1
BRO_427,488467.474,5148159.655,1
BRO_426,488452.474,5148159.655,1
BRO_437,488437.474,5148144.655,1
BRO_354,488362.474,5148249.655,1
BRO_385,488377.474,5148204.655,1
BRO_425,488437.474,5148159.655,1
BRO_439,488467.474,5148144.655,1
